"Device ID","Device name","Manufacturer","Serial number"
"cf0971fc-f7ca-48d5-b8e4-06c54d21d2d3","Isomo-Dell-DZT73D3","Dell Inc.","DZT73D3"
"0c3c38a1-bb19-4007-b6cf-1e2d1659036e","Isomo-Dell-F47Q273","Dell Inc.","F47Q273"
"be6b1da7-5e61-41ef-9409-eb291f0b514c","Isomo-Dell-1TRGL63","Dell Inc.","1TRGL63"
"03ef8b00-3e94-46c5-aecc-c2582820eb76","Isomo-Dell-BGB4273","Dell Inc.","BGB4273"
"d989a56e-a2af-4f31-a6a6-ce04f3f29bbb","Isomo-Dell-5N6X7C3","Dell Inc.","5N6X7C3"
"0169286f-8117-4788-8bb5-a56263e0cece","Isomo-Dell-1YWP9C3","Dell Inc.","1YWP9C3"
"1120ed4b-2cf3-4d8b-8ea4-5b808a61b5f4","Isomo-Dell-HWF9043","Dell Inc.","HWF9043"
"9f785aa8-a245-4cb1-9ce4-58a13bfb64be","Isomo-Dell-DKDL473","Dell Inc.","DKDL473"
"e2b5b39e-7d64-42cf-83af-aebca17514d2","Isomo-Dell-3L5B043","Dell Inc.","3L5B043"
"62ef4e81-87e1-47e1-baa6-da1f3b1a9b27","Isomo-Dell-HZ4HFB3","Dell Inc.","HZ4HFB3"
"6094a0f1-b5c2-44ae-b8c3-6b66ba14ba83","ISOMO-HP-012","HP","5CG013CTK1"
"908b31d8-d753-460c-8319-64a7ead60a19","DESKTOP-6QQHJ7R","HP","5CG013CW72"
"30a7d0be-6676-4c9a-8ed2-c0e1f55c21c9","Isomo-Dell-5CG8293DWW","HP","5CG8293DWW"
"231adcbb-cd35-437f-b17b-6867832a71d6","Isomo-Dell-F9P2673","Dell Inc.","F9P2673"
"2ae659dc-bf44-43bc-af7a-2336e0d7a3bd","Isomo-Dell-7RV79C3","Dell Inc.","7RV79C3"
"17f2d104-1215-48fc-8b8d-e6b02d27e9a3","Isomo-Dell-C8H5273","Dell Inc.","C8H5273"
"81475413-9b4c-48f4-92d4-6715d05a4840","Isomo-Dell-7RCQ9C3","Dell Inc.","7RCQ9C3"
"09793abd-2e85-4535-9b00-f27da871b1da","ISOMO-HP-006","HP","5CG9150L5H"
"3a85394d-d523-4d15-ba44-ac93ee8636bd","Isomo-Dell-98C0ZD3","Dell Inc.","98C0ZD3"
"0d7afd9b-fca0-4bfa-a0f1-df9d3f83f5c5","Isomo-Dell-6VBFFB3","Dell Inc.","6VBFFB3"
"100f14c0-be53-41d5-865e-eef57b8eebb6","Isomo-Dell-180Q9C3","Dell Inc.","180Q9C3"
"a363531a-00be-4244-945d-855a848965e4","Isomo-HP-004","HP","5CG84977Z0"
"2d3a618e-d9ab-43de-a8ed-749457769e49","Isomo-Dell-7W7G6D3","Dell Inc.","7W7G6D3"
"00713059-96b8-4238-b9db-5958401b7ab0","ISOMO-HP-003","HP","5CG013979K"
"165d1931-6d39-4711-b14a-98e4be9ef691","Isomo-Dell-20PP373","Dell Inc.","20PP373"
"86b72f83-77ce-4f55-892a-98f8c658c30b","ISOMO-HP-010","HP","5CG9194YF0"
"edbacc1b-7e35-4d0d-840a-319c50bf4cee","Isomo-Dell-FZB63D3","Dell Inc.","FZB63D3"
"967c38b1-6a3b-4af8-8142-c58bec3889f8","Isomo-Dell-BZG6N53","Dell Inc.","BZG6N53"
"0da551b5-39d5-4c71-9ff6-a76fb7fd6a3c","Isomo-Dell-BXV2673","Dell Inc.","BXV2673"
"08e655be-ea4b-4a93-8dce-2034b8c232c1","Isomo-Dell-F9LQ373","Dell Inc.","F9LQ373"
"ae44ce0b-2f25-4d55-aa6e-ca06f6216025","Isomo-Dell-DFNQ493","Dell Inc.","DFNQ493"
"0f112d0c-cd5d-40cf-b56a-b0e76187de49","Isomo-Dell-65ZJ7C3","Dell Inc.","65ZJ7C3"
"03953265-3713-4733-88ff-a4b5a6218752","Isomo-Dell-1234567","Dell Inc.","1234567"
"26e51ddd-1a84-41b5-8d12-6c38c5dde4db","Isomo-Dell-5513DB3","Dell Inc.","5513DB3"
"73e744e9-812d-4c20-ae82-e0536d1c7d90","Isomo-Dell-71L1673","Dell Inc.","71L1673"
"b935e800-43f3-448b-b3ce-6bc4eb54d4c3","Isomo-Dell-46FVN73","Dell Inc.","46FVN73"
"6f7d6c86-be42-412d-b8e7-ed2676a11a4f","Isomo-Dell-6Z5WN73","Dell Inc.","6Z5WN73"
"21984287-fe37-4538-9d56-dd2726c35537","Isomo-Dell-FTSWDB3","Dell Inc.","FTSWDB3"
"543121aa-7ced-40ce-992f-1ee55cc2ce9e","Isomo-Dell-8LQ3673","Dell Inc.","8LQ3673"
"d1859e28-5035-4545-9a78-0e1a23e809f0","Isomo-Dell-8JPR353","Dell Inc.","8JPR353"
"9b996c16-339c-40f9-b275-b864ab87b7c1","Isomo-Dell-48D6N53","Dell Inc.","48D6N53"
"2de3b09e-f8a0-4d71-bf0e-ff01a875d492","Isomo-Dell-1234567","Dell Inc.","1234567"
"7f48d4c9-643e-403d-9949-5d104ba12d3d","ISOMO-DELL-F280","Dell Inc.","F280P53"
"4428a949-2f17-474a-9ef8-0af56b506905","Isomo-Dell-3RK6043","Dell Inc.","3RK6043"
"9f40a1d7-886c-4daf-8a61-02eb4fc79d8c","Isomo-Dell-JPH00876VB","HP","JPH00876VB"
"a21b56f7-b81e-4d69-a79c-1b855697cf1a","Isomo-Dell-BX8Y7C3","Dell Inc.","BX8Y7C3"
"8970bd3f-de13-436b-a162-60dd5afc648c","Isomo-Dell-1MJ3273","Dell Inc.","1MJ3273"
